Mollat;https://www.mollat.com/;2;Librairie à Bordeaux, vente en magasin ou en ligne.
Fnac;https://www.fnac.com/;3;Informatique, Smartphones, livres, jeux vidéo, photos, jouets, électroménager neuf et occasion. Magasins dans toute la France, ou achats en ligne.
Rue du Commerce;https://www.rueducommerce.fr/;3;Appartient à Carrefour.
Espace Culturel;https://www.culture.leclerc/;3;Appartient à E.Leclerc.
CDiscount;https://www.cdiscount.com/;3;Appartient au Groupe Casino.
LDLC;https://www.ldlc.com/;1;Vente de matériel high-tech en boutique ou en ligne.
Materiel.net;https://www.materiel.net/;1;
Top Achat;https://www.topachat.com/;1;
Lalibrarie.com;https://www.lalibrairie.com/;2;
Leslibraires.fr;https://www.leslibraires.fr/;2;
Decitre;https://www.decitre.fr/;2;Librairie à Lyon.
Ombres Blanches;https://www.ombres-blanches.fr/;2;Librairie à Toulouse.
Privat;https://www.librairieprivat.com/;2;Librairie à Toulouse.
Furet du Nord;https://www.furet.com/;2;Librairie à Lille.
Gibert-Joseph;https://www.gibert.com/;2;Librairie à Paris.
Livre Rare Book;https://www.livre-rare-book.com/;2;Librairies spécialisées dans le livre d'occasion, ancien et moderne.
ManoMano;https://www.manomano.fr/;4;Entreprise française, spécialisé dans le bricolage et le jardinage.
Probikeshop;https://www.probikeshop.fr/;5;
Nootica;https://nootica.fr/;6;
Clinique de la planche;https://www.cliniquedelaplanche.com/;6;Basé à Caen, spécialisé dans les sports nautiques.
OOGarden;https://www.oogarden.com/;4;Entreprise française, spécialisé dans l'aménagement extérieur.
Votre épicerie du coin;;14;Faites travailler les petites commerçants !
Une AMAP;;14;Les circuits courts, c'est chouette !
Leboncoin;https://www.leboncoin.fr/;15;Site français de petites annonces
Les marchés;;14;Certainement le plus simple pour acheter des produits de qualité issus de ciruits courts.